Chapters,Favs,Follows,Published,Reviews,Updated,Words,Author,Characters,Genre,Language,Rating,Story_link,Synopsis,Title,Pairing
1,2,0,2019-12-31,1.0,2019-12-31,6840,Wrong author,"SiriusB.,RemusL.,JamesP.,RegulusB.",Angst/Hurt/Comfort,English,T,https://www.fanfiction.net/s/13466909/1/If-You-Change-Your-Mind,"Regulus and James aren't happy. They know they can be happy with each other, but Regulus is uncertain whether or not he can leave behind the world he knows. For Angel.",If You Change Your Mind,No specified pairings
1,1,0,2019-12-31,0.0,2019-12-31,10962,JoyI9199,"HarryP.,DracoM.,NarcissaM.,CharlieW.",Angst/Drama,English,M,https://www.fanfiction.net/s/13466894/1/Bloody-Ballgowns,"When a plot from the Founder's age is revealed, Bailey Ravenclaw reappears in the pureblooded political scene, throwing it into an uproar. When she is sorted into Slytherin, rather than her own house, questions begin to swirl. A voice in her head begins to try and turn her towards the Dark Lord's followers. Political Fiction with minor Dumbledore bashing. Generally following canon.",Bloody Ballgowns,No specified pairings
1,3,2,2019-12-31,0.0,2019-12-31,8592,MoonytheMarauder1,"JamesP.,RegulusB.",Angst,English,M,https://www.fanfiction.net/s/13466885/1/Nothing-Left-To-Do,"Regulus Black is supposed to be dead, but he's not. Getting him out of the hands of the Death Eaters is going to come at a heavy price, though. Voldemort Wins!au. Soulmate!au. JamesRegulus, past JamesLily, RemusSirius, HarryDraco. For Bex.",Nothing Left To Do,"James P., Regulus B."
2,0,0,2019-12-31,0.0,2019-12-31,7260,LaviniaKatt,CedricD.,Romance/Fantasy,English,M,https://www.fanfiction.net/s/13466880/1/Patience-is-a-Virtue,This is a spin off of Harry Potter taking place in the 4th book Goblet of Fire. I do not own any rights this story. The story is a gay romance Between Harry and Cedric Diggory.,Patience is a Virtue,No specified pairings
1,4,3,2019-12-31,0.0,2019-12-31,1529,Rowena-Moon-Moon,Unspecified Characters,Unspecified Genre,English,T,https://www.fanfiction.net/s/13466807/1/An-Understanding,"Harry makes a new discovery and perhaps a few unlikely allies when he helps Draco Malfoy, who has been cornered by three older Slytherins. That is a horrible summary but I can't come up with anything better. Set in Order of the Phoenix after the Ministry battle. One-Shot... Happy New Year! Also, it's just rated T for safety... There is a bit of violence.",An Understanding,No specified pairings
3,0,0,2019-12-31,0.0,2019-12-31,2258,alixwolfix1,"AbraxasM.,TomR.Jr.,OrionB.,A.Dippet",Sci-Fi,Spanish,M,https://www.fanfiction.net/s/13466788/1/Hogwarts-Unido-pasado-Era-de-Riddle,"La Primera temporada de Herederos de la magia. La vida de los padres de Alix Lilian Wolfix Black, Amelia Alpha Black y Nicolás Rigell Wolfix. Tom Marvolo Riddel hizo LA PROMESA de vida.",Hogwarts Unido (pasado) (Era de Riddle),No specified pairings
4,0,0,2019-12-31,0.0,2019-12-31,2508,alixwolfix1,"JamesP.,LilyEvansP.,RemusL.,SiriusB.",Sci-Fi,Spanish,K+,https://www.fanfiction.net/s/13466779/1/Heredera-Wolfix-Era-de-los-Merodeadores,"La segunda temporada de Herederos de la magia. Hola, Soy Alix Wolfix, Heredera de la casa mas Antigua y Ancestral de los Wolfix, Miembro de los merodeadores, soy Lunática, según los chicos. Todos los personajes del mundo de Harry Potter pertenecen a Jk. Rowling, Solo La Familia Wolfix(es decir los pertenecientes a ella,no importa apellido) y Violet Malfoy,son de mi propiedad.",Heredera Wolfix (Era de los Merodeadores),No specified pairings
1,0,2,2019-12-31,1.0,2019-12-31,4186,Wrong author,"RemusL.,RegulusB.",Hurt/Comfort/Friendship,English,T,https://www.fanfiction.net/s/13466742/1/how-lucky-we-are-to-be-alive-right-now,Remus has lost everything. Regulus is searching for something.:: Voldemort wins!au for Sophy,how lucky we are (to be alive right now),No specified pairings
1,3,3,2019-12-31,1.0,2019-12-31,1304,Wrong author,"HarryP.,SiriusB.,OC",Family/Hurt/Comfort,English,T,https://www.fanfiction.net/s/13466735/1/A-Different-Path-Vol-1,"This is an AU for my original series. Same characters, actual and OCs, different path.",A Different Path Vol 1,No specified pairings
2,2,3,2019-12-31,0.0,2019-12-31,3894,owlwayssandforever,"SiriusB.,RemusL.,N.Tonks,MarleneM.",Angst/Romance,English,T,https://www.fanfiction.net/s/13466634/1/Into-the-Darkness-With-You,A disastrous break up. An unexpected visitor. A hidden truth. And a reunion that forces it all into the open.,Into the Darkness With You,No specified pairings
1,4,2,2019-12-31,0.0,2019-12-31,1631,MWolfe13,"HermioneG.,NevilleL.",Romance/Supernatural,English,T,https://www.fanfiction.net/s/13466623/1/Honestly,"They've completely missed each other until now. Of course, they would meet like this.",Honestly,"Hermione G., Neville L."
1,2,3,2019-12-31,3.0,2019-12-31,2292,Wrong author,"DracoM.,OC,PansyP.,HarryP.",Angst/Family,English,T,https://www.fanfiction.net/s/13466601/1/The-Pureblood-World,"Hailey Potter is Harry's sister. She is my OC who I write multiple stories about, but they are not connected. She is strong, but how will she use it to her advantage? What happens when they meet the Malfoys at the train station instead of the Weasleys? Will she defeat Voldemort or will she embrace the darkness? Perhaps things are not always what they seem.",The Pureblood World,No specified pairings
1,25,70,2019-12-31,6.0,2019-12-31,7788,Wrong author,"HermioneG.,DracoM.,T.RowleRodolphusL.",Unspecified Genre,English,M,https://www.fanfiction.net/s/13466582/1/Once-Removed,"All it takes is one spell for Tom Riddle to solve wizarding Britain's two biggest problems: declining pure-blood births and muggleborns. On one winter night, three-month-old Jean Granger becomes Hermione Lestrange, the first muggleborn to undergo a ritual that will forever blur the lines of pure and impure.",Once Removed,"Hermione G., Draco M., T. Rowle"
3,2,1,2019-12-31,0.0,2019-12-31,8385,Kito Orlando,"LilyLunaP.,OC,LorcanS.,LysanderS.",Fantasy/Adventure,Spanish,T,https://www.fanfiction.net/s/13466566/1/Lily-Luna-Potter-y-el-Misterio-de-la-Diadema,"Lily Luna Potter... una pequeña bruja hija de un gran mago, ella solo quiere una vida normal, estar en la misma casa de sus padres, y casarse con un hombre algun dia, pero el destino le ha llamado a la casa de las aguilas y junto a Lorcan y Lysander descubrirá nuevas formas de hacer magia y un nuevo y aparentemente invencible enemigo",Lily Luna Potter y el Misterio de la Diadema,No specified pairings
1,0,0,2019-12-31,0.0,2019-12-31,350,killerkittens22,Unspecified Characters,Angst/Tragedy,English,T,https://www.fanfiction.net/s/13466554/1/Wounds,This is how the war has left them.,Wounds,No specified pairings
1,9,31,2019-12-31,5.0,2019-12-31,1690,Wrong author,"HermioneG.,DracoM.",Friendship/Romance,English,K+,https://www.fanfiction.net/s/13466553/1/Lilacs,"Draco walks Hermione back to her dorm after the Yule Ball. Warm fuzzy feelings and who knows what else. DRAMIONE, obviously. Read and Review pretty please.",Lilacs,No specified pairings
1,2,1,2019-12-31,1.0,2019-12-31,4178,Wrong author,"NarcissaM.,OCCedricD.,HarryP.",Drama/Supernatural,English,M,https://www.fanfiction.net/s/13466536/1/For-the-Love-of-Gods,God/Goddess!AU. When two gods of Olympus make a bet between each other on who can get the most mortals to love them will there be room for love? Narcissa goddess of beauty and love isn't sure until she finds the beautiful Apolline. But will the bet and Cedric god of poetry get in the way of their happiness? And what of Apolline's husband? What happens when he finds out?,For the Love of Gods,"Narcissa M., OC"
1,71,25,2019-12-31,22.0,2019-12-31,3790,Wrong author,"HermioneG.,DracoM.",Romance/Angst,English,M,https://www.fanfiction.net/s/13466530/1/Second-Chance-New-Years-Eve,"Second part to SECOND CHANCE: The decision to make their secret relationship public on New Years Eve, what could possibly go wrong?",Second Chance: New Years Eve,"Hermione G., Draco M."
